recipe_id,dish_name,region,cuisine_raw,servings,instructions,source_row_id
38,Kerala Style Chemmeen Moilee Recipe - Prawn Curry,Kerala,Kerala Recipes,4,"To begin making the Kerala Style Chemmeen Moilee Recipe - Prawn Curry, marinate the shrimps with turmeric powder and lemon juice and keep it aside for at least 15 minutes.Heat a kadai with oil, add cinnamon, cardamom pods, pepper corns and allow it to sizzle. Add whole shallots and saute until they turn slightly brown.Once done add chopped ginger, garlic and saute until they soften. Now add the tomatoes and salt to taste. Do not mash them completely. Cook till the tomatoes just turn soft.Once done add coconut milk along with turmeric powder and salt and bring it to a boil. Stir in the sugar and slowly drop in the shrimps and cook in a medium heat for about 20 minutes till the shrimp are cooked.Once done turn off the heat and transfer the Kerala Style Chemmeen Moilee to a serving bowl and serve hot.Serve the Kerala Style Chemmeen Moilee Recipe along with Steamed Rice or kerala parotta and Cabbage Thoran.
",1579
39,Chyna Upper Recipe - Eggplant Foot Yam Stir Fry Recipe,Kerala,Kerala Recipes,4,"छेना उप्पेरि रेसिपी बनाने के लिए सबसे पहले एक सॉसपैन में पानी और नमक डाले। इसको उबलने दे. अब इसमें सुरन डाले और आधा पकने तक पका ले. पानी निकाल ले और सुरन को सूखने के लिए पेपर टॉवल पर रख दे. एक कढ़ाई में तेल गरम करें। इसमें राइ, कढ़ी पत्ता डाले और राइ को तड़कने दे. राइ के तड़कने के बाद इसमें लहसुन, प्याज डाले और प्याज के नरम होने तक पका ले. अब इसमें हल्दी पाउडर, लाल मिर्च पाउडर, सौंफ पाउडर और काली मिर्च पाउडर डाले। 2 मिनट के लिए पका ले. 2 मिनट के बाद, सुरन डाले और मिला ले. कढ़ाई को ढके और पकने दे. अगर निचे से चिपक रहा है तो थोड़ा पानी डाले। सुरन के अच्छी तरह से पक जाने तक पकाए। पक जाने के बाद, गैस बंद करें और परोसे।छेना उप्पेरि रेसिपी को दही चावल या कीरई सांबर, चावल और पापड़ के साथ दिन के खाने के लिए परोसे। 
",1829
40,Prawns Theeyal Recipe (Chemeen Theeyal),Kerala,Kerala Recipes,4,"To begin making the Prawns Theeyal recipe, start by taking grated coconuts in a blender and blending it so it becomes fine.This will help the coconut to brown evenly and faster.In a wok/kadhai, take coconuts and start roasting on medium flame. Stir every 10 seconds to avoid burning.Once the coconuts have achieved light brown colour add coriander seeds, red chilly, some curry leaves, 2-3 shallots, cumin seeds, fenugreek, turmeric powder and roast.Once the coconut mixture is nicely roasted and achieved a deep brown colour take it off heat to cool.Once cooled blend the mixture in blender. First blend it to powder everything. Then add the tamarind pulp and little water and blend. Blend till it becomes a cohesive smooth paste.In the same wok/kadai, heat some coconut oil. Once hot, splutter some mustard seeds.Add the remaining shallots and garlic and sauté till everything turns translucent.Add curry leaves and sauté for another minute. Add the coconut paste in and give a good mix. Add 1 cup water and bring to a boil.Add salt as per taste and let it boil until the oil starts appearing on top. This will take 5-10 minutes.Now add cleaned prawns and let it cook for 3-5 minutes before switching off the flame.Serve Prawns Theeyal Recipe with hot steamed rice for a perfect weekday meal.",1856
41,Kerala Style Eggplant Curry Recipe,Kerala,Kerala Recipes,4,"To begin making the Kerala Style Eggplant Curry recipe, heat oil in a heavy bottomed pan and shallow fry the eggplant till slightly crisp.Remove the fried eggplant from the oil and drain on kitchen towel. Keep it aside.Into the same wok, add the mustard seeds and allow it to splutter.Add the fennel seeds and saute till raw smell disappears. Now add the green chillies, onions and curry leaves and saute till onions turn light brown.Once the onions have browned well, add the chilli powder, coriander powder and turmeric powder and saute till raw smell disappears.Add the chopped tomato and saute for a few seconds till all the ingredients have combined well.Add enough water (add according to how much gravy you would want. I like a thick curry, so did not add too much water) and cover and cook for a few minutes. Allow the curry to boil well and eggplant to soften a little.Now add the thick coconut milk and stir well. Cook till small bubbles appear here and there. Switch off flame and add the chopped coriander leaves. (optional)Your Kerala Style Eggplant Curry is ready to be served.Serve Kerala Style Eggplant Curry with Roti or steamed rice for a weekday lunch.",1893
42,Mulakushyam Recipe - A Mixed Vegetable Lentil Curry,Kerala,Kerala Recipes,4,"To begin making the Mulakushyam Recipe - A Mixed Vegetable Lentil Curry, first prepare the vegetables by peeling and cutting them. Wash the dal and keep aside.We will now cook everything a single pot, by either using a pressure cooker or using a sauce pan method. If using the sauce pan method, follow the same instructions as below and cook until the dal is soft and cooked through.Place the washed dal, the chopped vegetable, slit green chillies into the pressure cooker. Add the turmeric,salt and about 2 cups of water. Place the weight on and pressure cook until you hear two whistles. After 2 whistles, turn the heat to low and simmer for a couple of minutes and turn off the heat.Allow the pressure to release naturally. Once the pressure has released, add the curry leaves, the coconut oil, salt and pepper to taste. Stir and give the Mulakushyama brisk boil. Turn off the heat and transfer to a serving bowl.Serve the Mulakushyam along with Steamed Rice , Elai Vadam and Pisarna Manga Recipe for a quick and wholesome weeknight dinner.",2111
43,Cabbage Thoran / Poriyal Recipe - Cabbage Thoran Recipe,Kerala,Kerala Recipes,4,"पत्ता गोभी थोरन रेसिपी बनाने के लिए सबसे पहले एक मिक्सर ग्राइंडर में नारियल, छोटे प्याज, लहसुन, हरी मिर्च, कढ़ी पत्ता डाले और पीस ले. अलग से रख ले. अब एक कढ़ाई में तेल गरम करें। इसमें उरद दाल डाले और उसके सुनहरा भूरा होने तक पका ले. अब इसमें राइ डाले और तड़कने दे.अब इसमें सुखी लाल मिर्च डाले और 10 सेकण्ड्स के लिए पका ले. 10 सेकण्ड्स के बाद इसमें पत्तागोभी डाले और उसके नरम होने तक पका ले.  नरम होने के बाद इसमें नारियल का पेस्ट, नमक, हल्दी पाउडर और कढ़ी पत्ता डाले और मिला ले. 3 से 5 मिनट के लिए पका ले और गैस बंद कर ले. पत्ता गोभी थोरन रेसिपी को मिक्स्ड वेजिटेबल सांबर और चावल के साथ दिन के खाने के लिए परोसे. 
",2308
44, Carrot and Beans Thoran (Recipe In Hindi),Kerala,Kerala Recipes,4,"गाजर और बीन्स का थोरन बनाने के लिए सबसे पहले गाजर और बीन्स को धोकर काट ले. अब एक बाउल ले, उसमे कटी हुई सब्ज़ी, प्याज, हरी मिर्च, जीरा पाउडर, हल्दी पाउडर, नमक डाले और मिला ले.अब एक कढ़ाई में तेल गरम करें। इसमें राइ और कढ़ी पत्ता डाले और 10 सेकण्ड्स तक पकाए।10 सेकण्ड्स के बाद, इसमें सब्ज़ियो का मिक्सचर डाले, मिलाए और कढ़ाई को धक् ले. जब सब्ज़िया नरम हो जाए, इसमें कैसा हुआ नारियल डाले और मिला ले. अगले 3 मिनट और पकाए और फिर गैस बंद करदे।गाजर और बीन्स के थोरन को मिक्स्ड वेजिटेबल सांबर और चावल के साथ दिन के खाने के लिए परोसे।
",2311
45,Baked Banana Chips Recipe,Kerala,Kerala Recipes,2,"To begin making Baked Banana Chips Recipe, take a bowl, add sliced banana, paprika powder, black pepper powder, salt to taste and a bit of olive oil to coat.Mix everything well and make sure that the banana slice gets coated well with oil and masala.Preheat the oven to 200 degree celcius for about 10 minutes. Meanwhile, spread coated banana slices over the baking sheet lined with a parchment paper.Bake at 200 degree celcius for 20-25 minutes or till they become crisp. Keep checking them as different oven takes different time to bake.Serve Baked Banana Chips Recipe along with Tomato and Sunflower Seed Dip Recipe or Coconut & Ricotta Dip with Banana Chips Recipe during tea time for snacking, along with a Smoothie",2374
46,Achappam Recipe | Kerala Style Fried Rose Cookies,Kerala,Kerala Recipes,10,"To prepare Achappam Recipe | Kerala Style Fried Rose Cookies, sift flour through a sieve.In a large mixing bowl, add coconut milk and transfer the flour slowly while you keep stirring in a spatula to make a fine batter.Beat eggs in a bowl till fluffy and add it into the flour batter.Now start adding powdered sugar gradually and whisk the batter using an electric blender to avoid lumps and make a fine and smooth batter.If you find the batter to be too thick, you can adjust it with more coconut milk.Add fennel seeds and pinch of salt and give a quick stir to the batter.The consistency of the batter should neither be too thick nor too thin. Now take a thick bottomed broad frying pan and heat oil. As soon as the oil gets heated up nicely, immerse the iron/steel mold into it completely and hold on for a minute.Now take out the hot mold and immediately immerse it in the flour batter. Make sure the mold is only 3/4 immersed in batter, to ease the cookies to to transferred to oil when they are being fried.Now again dip the batter coated on the mold in hot oil completely and hold on for a minute or two, till the batter gets golden and crispy. As soon as the batter is cooked it will detach from the mold itself. Remove the mold and carefully take out the achappam from oil using a perforated ladle.Transfer the achappam to a kitchen towel to absorb excess oil.Repeat the same process with rest of the batter.Serve these Kerala Style Fried Rose Cookies (Achappam) as an evening snack along with smoothie",2413
47,Kerala Style Mutton Stew Recipe,Kerala,Kerala Recipes,2,"To begin making the Kerala Style Mutton Stew Recipe, clean and wash the mutton pieces and keep them aside.Dice the onion, chillies, and tomatoes into small pieces.Peel and dice the potatoes into four pieces and keep it aside. Grind the coriander seeds and poppy seeds separately to a fine paste. Grind the ginger and garlic together. Next add onions, chilies, tomatoes, spices and salt to the mutton and give it a good stir so that mutton pieces are coated properly.Heat the oil and add spices including poppy seeds, cinnamon, cloves and coriander seeds. Cook it for few minutes and make sure that spices are not getting burnt.Add the mutton and fry it for a while. Add just sufficient water to cook the mutton; cook till the time mutton pieces become tender and cooked.Next, add the grated coconut & chopped coriander leaves. Cook it for 7 to 9 minutes on low heat and serve it hot.Serve Kerala Style Mutton Stew along with Kerala Pumpkin Pachadi and Kerala Parotta for a weekday meal.
",2414
48,Semma Rice Coconut Milk Sauce Recipe- Red Rice Sauce,Kerala,Kerala Recipes,4,"To begin making Chemba Arisi Thengai Paal Payasam first wash Chemba rice well in water and soak for half an hour.Add soaked rice in a pressure cooker and add three and a half cups of water.Pressure cook rice for five whistles to get soft well cooked rice.While the rice is getting cooked keep a saucepan on medium flame add one fourth cup water and half a cup of jaggery and let the jaggery melt.This will take about five minutes on medium flame. If you like your payasam to be more sweet then u can add more jaggery.Open the pressure cooker and mash the rice lightly using a potato masher or the back of a spoon.Strain the jaggery water and mix it in with the rice. Add the cardamom powder to rice and jaggery mix. Simmer the rice and jaggery mixture for about 5 mins and add coconut milk.Simmer till the Chemba Arisi Thengai Paal Payasam becomes thick and creamy in consistency - about 5 minutes.In a tadka pan add ghee and once the ghee is hot first fry cut coconut pieces till it turns light brown in colour and then add cashew nuts in the  pan and fry till they turn golden brown.Add the fried cashew nut and coconut pieces to the Chemba Arisi Thengai Paal and serve hot. Serve Chemba Arisi Thengai Paal as a dessert with a meal of White Pumpkin Mor Kuzhambu , Steamed Rice and Kerala Style Karamani Thoran for a delicious weekend lunch.
",2449
49,Mulangi Thoran Recipe - Radish Stir Fry With Coconut,Kerala,Kerala Recipes,4,"To begin making the Mulangi Thoran Recipe (Raddish Stir Fry with Coconut), we will first steam the radish in a vegetable steamer and keep it ready.Blend all the ingredients ""to be ground"" including fresh coconut, green chillies, curry leaves, ginger, salt into a coarse paste and keep aside.In a heavy bottom pan, add mustard seeds, cumin seeds, and allow it to crackle. When they crackle, add curry leaves.Add the cooked radish, the ground coconut mixture and give it a stir.Add turmeric powder, salt to taste and stir fry for about 3 to 4 minutes until the Radish thoran is well incorporated. Once done, serve warm.Serve the Mulangi Thoran Recipe along with Steamed Rice, Dal Palak Recipe or Mango Rasam Recipe to complete your lunch plate.",2501
50,Kerala Style Appam Recipe Without Yeast,Kerala,Kerala Recipes,8,"To begin making the Kerala Style Appam, we need to first soak the rice along with the fenugreek seeds in water for at least 3 to 4 hours.Once soaked, grind the rice along with the grated coconut and the cooked rice. Add very little water to make a thick and smooth batter. Once ground into a batter. Add a little salt and sugar to taste and allow the appam rice batter to ferment for about 6 hours in a warm place. The fenugreek in the batter, will help in light fermentation of the batter.After 6 hours, the appam batter is now ready to be used. When you are ready to make the appams, stir in the baking soda and allow it to rest in the batter for about 5 minutes.Preheat the Appachetty or the Appam pan on medium high heat. Pour a ladle of batter on the Appachetty and swirl the pan in circular fashion to spread the batter.The batter will be thick in the center and thin on the sides. Cover the pan with a lid for approximately 2 minutes until it is crisped and golden brown on the sides and the centre is steamed and cooked.Serve the Kerala Style Appam along with Kadala Curry or Kerala Style Vegetable Stew for breakfast or a wholesome weeknight dinner.",2510
51,Moru Kachiyathu Recipe - Kerala Style Seasoned Buttermilk,Kerala,Kerala Recipes,4,"To begin making the Moru Kachiyathu Recipe (Kerala Style Seasoned Buttermilk), add the curd into a big bowl and whisk it to a silky texture.To this add water and whisk it to get to a semi thick buttermilk consistency. Heat coconut oil in a wok, add the mustard seeds and let it crackle.Add the methi seeds, curry leaves, red chillies and let it splutter.To this add the finely sliced shallots, garlic and saute until the onions turn translucent.Add the chopped ginger, green chillies, turmeric powder and flash fry it.Keep the heat to low, and slowly add the buttermilk into the wok.Keep stirring, until the buttermilk get just warm and starts to bubble. Make sure you don't bring it to a boil to avoid curdling.Switch off the flame, season with salt and mix well. Serve the Moru Kachiyathu Recipe (Kerala Style Seasoned Buttermilk) along with Mixed Vegetable Sambar, Steamed Rice and Beetroot Thoran to make it a perfect simple meal for a weekday lunch.",2632
52,Raw Banana Thoran Recipe,Kerala,Kerala Recipes,4,"To begin with, the Raw banana Thoran first, cut the raw banana into half and boil it in the pressure cooker for 3 to 4 whistles and turn off the heat. Once cooked, through, peel the skin and cut into dices.Blend all the ingredients ""to be ground"" into a coarse paste and keep aside.In a heavy bottom pan, add mustard seeds and allow it to cracke. When they crackle add dry red chillies, curry leaves, onions and garlic. Sauté until the onions soften. Add the cooked banana, the ground coconut mixture and give it a stir.Add the salt to taste and stir fry for about 3 to 4 minutes until the raw banana thoran is well incorporated. Once done, serve warm.Serve the Raw Banana Thoran along with Steamed Rice, Beetroot Sambar and Yogurt for a comforting meal.",2649
53,Kerala Thenga Chammanthi Recipe- Coconut Onion Chutney,Kerala,Kerala Recipes,4,"To begin making Kerala Thenga Chammanthi Recipe, prep up all the ingredients first.In a mixer grinder add coconut, shallots, tamarind, dry red chillies, ginger, curry leaves and salt to taste. Add about 2-4 tablespoons of water and grind the chammanthi to get a coarse mixture. Once done transfer the Thenga Chammanthi into a serving bowl and serve.Serve Kerala Thenga Chammanthi Recipe with Steamed rice or Kerala Style Kanji Payar Recipe,  Egg White Omelette Recipe With Spinach and curd for lunch or dinner. You can also serve it with Ragi and Oats Dosa or Homemade Soft Idli for healthy breakfast.",2671
54,Malabar Parrot Recipe - Kerala Parrot Recipe,Kerala,Kerala Recipes,4,"To begin making the Malabar/Kerala Parotta recipe, in a mixing bowl or a food processor, add the maida, ghee, milk, sugar, salt and sufficient lukewarm water and make a firm dough.Cover the malabar parotta dough and allow it to rest 15 to 20 minutes.Divide the malabar parotta dough into equal portions and roll them into balls.Place a ball on a worktop and roll the malabar/kerala parotta with the help of a rolling pin into thin sheet.Now apply some ghee on the rolled malabar parotta and dust it with the little maida.Make small pleats like an accordian and then bring the pleats together. Start to roll the malabar parotta into a round pinwheel from one end. Dust in flour and roll into a circular shape.Do the same with the remaining portion of the malabar parotta dough. Heat the tawa over medium heat; add the rolled out malabar/ kerala parotta and cook without ghee for a few seconds until the raw look goes away. Drizzle little ghee and cook the malabar parotta from both sides until lightly brown and crisp.Serve Malabar Parotta with Vegetable Kurma and Kerala Style Egg Roast Curry Recipe as a weeknight dinner or as a paratha for and indian party menu with friends and family.",2736
55,Kerala Style Tomato Fry Recipe,Kerala,Kerala Recipes,4,"To begin making the Kerala Tomato Fry Recipe, heat oil in a heavy bottomed pan. Add mustard seeds, dry red chillies and let the mustard seeds crackle.Once mustard seeds start to crackle, add curry leaves, green chillies and onions. Saute it for 1 minute and add ginger garlic paste.Saute it again till onion turn into golden brown in colour. Next add kashmiri red chilli and turmeric powder.Mix well and add the chopped tomatoes. Let it cook 5 for 7 minutes till the tomatoes turn soft. Add the required salt and cook for another few seconds.Turn off the flame, transfer it in a bowl and garnish it with fresh chopped coriander leaves. Our Kerala Style Tomato Fry is ready to serve.Serve Kerala Tomato Fry Recipe along with Tomato Onion Sambar and Homemade Soft Idlis for breakfast or for a light dinner.",2934
56,Kerala Chicken Curry Recipe - Nadan Kozhi Curry,Kerala,Kerala Recipes,3,"To begin making Kerala Chicken Curry Recipe, we need to first marinate the chicken. In a mixing bowl, combine the chicken pieces along with red chilli powder, turmeric powder, salt and rub the spices well on the chicken pieces. Set aside for an hour. In a kadai, add 2 tablespoons of coconut oil and heat on medium heat. When the oil is hot, add thinly sliced onions and the curry leaves. Add a pinch of salt while sautéing the onions, this helps in speeding up the process of the onions browning. This will take about 5-7 minutes.Once the onions are brown, add crushed ginger and garlic. Stir till the raw smell goes away.Add in chopped tomatoes, saute till tomatoes turn mushy. Next add in the spices- red chilli powder, coriander powder, fennel powder, turmeric powder, garam masala, salt and mix the ingredients well. Once the oil starts to separate from the sides, add in the marinated chicken pieces along with the marinade and toss gently until the Kerala chicken is well coated with the masalas.Cover with a lid and cook the Kerala Chicken Curry on low flame for about 10 to 12 minutes.Stir in between. If it's dry, add two tablespoons of water and give a stir. Pour thick coconut milk and adjust salt and allow to boil on medium flame. Adjust the consistency of the Kerala Chicken Curry to your choice, and switch off the flame. Garnish with chopped coriander leaves. Cover the Kerala Chicken Curry and allow to rest for the flavours to get incorporated into the chicken. Serve Kerala Chicken Curry Recipe along with Nei Choru or even Malabar Parotta for a delicious weekday lunch. 
",2943
57,Kerala Pumpkin Black Eyed Beans Erissery Recipe,Kerala,Kerala Recipes,4,"To begin making Kerala Pumpkin Black Eyed Beans Erissery Recipe first soak he black eyed beans for an hour and after an hour add it to a pressure cooker with half a cup of water and pressure cook for 3 to 5 whistles. Let the pressure release on its own.Next grind the ingredients - coconut, cumin and green chillies with a little water to make a coarse paste and keep aside.Now in a wok add the pumpkins, turmeric powder, red chilli powder and salt and sprinkle some water and cook on medium heat till the pumpkins are nearly cooked.Add the ground coconut masala and the boiled black eyed peas to the pumpkin and stir and mix everything well.Cook the Kerala Pumpkin Black Eyed Beans Erissery mixture on medium heat for another five minutes till the pumpkins are completely cooked. Switch of the heat. Check the salt and seasonings and adjust the taste of the Kerala Pumpkin Black Eyed Beans Erissery accordingly.Next in a tadka pan heat oil and add the ingredients listed under tadka. First add the mustard seeds and let it splutter, then add the curry leaves and red chillies.Add the sliced onions to the tadka pan till they turn golden brown in colour and finally add the coconut and saute till the coconut turns golden brown in colour as well.Add this to the Kerala Pumpkin Black Eyed Beans Erissery and serve hot.Serve Kerala Pumpkin Black Eyed Beans Erissery as a side to a Kerala Sadhya of Vellarikka Manga Curry, Kootu Curry, Matta Rice and Ada Pradhaman.",3014
58,Kerala Style Vattayappam Recipe (Steamed Coconut Rice Cakes Recipe),Kerala,Kerala Recipes,4,"We begin making the Kerala Style Vattayapam Recipe (Steamed Coconut Rice Cakes Recipe) by soaking the broken rice in water for about 8 hours. Then grinding it into a smooth paste along with cumin seeds.In a bowl add the rest of the ingredients, including yeast. Mix well and rest for overnight to get a nice fermented batter or else you can rest for 4 hours.Heat a steamer, add the batter to a greased tray, pour in the batter and steam it for about 45 minutes till it is done. You can add raisins on the top, half the way while it is steaming.In order to check if it is done, the cake should not stick to your hand once you touch it and if you insert a knife it has to come out clean.Serve the Kerala Style Vattayappam Recipe (Steamed Coconut Rice Cakes Recipe) as a healthy Tea Time Snack.
",3029
59,Nadan Meen Kari Recipe (Kerala Style Fish Curry),Kerala,Kerala Recipes,4,"To prepare Nadan Meen Curry or Kerala Style Fish Curry, Clean the fish well and cut into pieces. Add salt and turmeric powder to the fish and let it sit for 15 minutes.Then wash the fish again well. Add 1 teaspoon of salt, 1 teaspoon red chili powder and 1/4 teaspoon turmeric powder. Rub it all over the fish, place them inside the fridge and leave it to marinade for 30 minutes to 1 hour.Heat coconut oil in a clay pot. When oil turns hot add mustard seeds and wait till it crackles. Then add chopped shallots and sauté till onions turn pink.Add ginger-garlic paste and cook till raw smell of the paste is gone.Add tomato puree and cook until the puree turns thick and oil separates from the sides of the pan.Mix all the spice powder with 1 tablespoon water into a thick paste. Add this paste into the pan and cook for about 3 minutes.Add 1 cup water and bring it to boil. Add salt to taste and continue to boil for another 3 minutes.Now add kodumpuli and boil for another 10 to 15 minutes until the curry turns a little thick.Now add the marinated fish, reduce flame, cover and continue to cook on low flame for about 7 to 10 minutes or until the fish is cooked well.Turn off flame. Nadan meen kari is ready to be served with steamed rice.
",3107
60,Pazhutha Manga Pachadi Recipe - Kerala Style Ripe Mango Curry,Kerala,Kerala Recipes,4,"To make the Pazhutha Manga Pachadi Recipe, first place the chopped mangoes, salt, red chilli powder, haldi powder, mustard powder, curry stalks, coconut and jaggery in a saucepan, along with 1 cup water.Place the saucepan on high heat and bring it to a boil. Lower the heat to medium, cover the saucepan and cook for about 10 minutes until the mangoes are softened.Next, stir it, check for salt and mash the mangoes lightly, still leaving some chunks and the seeds in the pan. Turn off the heat and serveServe Pazhutha Manga Pachadi along with Steamed Rice and Kerala Style Kappa Ulathiyathu Recipe (Tapioca Stir Fry Recipe) for a complete meal.
",3121
61,Kerala Style Egg Roast Curry Recipe - Kerala Style Egg Roast Curry Recipe,Kerala,Kerala Recipes,3,"केरला स्टाइल एग रोस्ट करी बनाने के लिए सबसे पहले कढ़ाई में तेल गरम कर ले. इसमें अदरक, लहसुन, प्याज और कढ़ी पत्ता डाले। आंच को मध्यम पर रखें और प्याज के नरम और हल्का भूरा होने तक पका ले.  अब इसमें गरम मसाला पाउडर, काली मिर्च पाउडर, लाल मिर्च पाउडर, धनिया पाउडर, हल्दी पाउडर डाले और अच्छी तरह से मिला ले. 2 मिनट तक पकने दे. 2 मिनट के बाद इसमें टमाटर और नमक डाले। 3 से 4 मिनट के लिए पकने दे.  3 से 4 मिनट के बाद 1/4 कप पानी डाले और उबलने दे. उबाला आने के बाद, आंच को धीमा करें और इसमें उबले हुए अंडे डाले। कढ़ाई को ढके और धीमी आंच पर 10 से 15 मिनट के लिए पकने दे. गैस बंद करें और हरे धनिये से गार्निश करें। केरला स्टाइल एग रोस्ट करी रेसिपी को तवा पराठा या अप्पम के साथ सुबह के नाश्ते के लिए परोसे। आप इस करी को चावल और सलाद के साथ दिन के खाने के लिए भी परोस सकते है.
",3147
62,Spicy Crab Masala Recipe,Kerala,Kerala Recipes,2,"To prepare Spicy Masala Crab Recipe, get all the ingredients handy and grind the masala ingredients fried onion, coconut, cinnamon, bay leaf, ginger, garlic & coriander leaves - to a fine paste.In a kadai/wok, heat some oil and saute the onion.Add the crabs and sauté to coat them with oil.After the crab changes it color to deeper in 10 minutes on a medium heat, start adding the dry spice powders - turmeric powder, coriander powder, Kashmiri red chilli, red chilli powder and salt as per taste. Stir in all the spices to ensure that the crab is coated well with spices.Add the chopped tomato, stir them into the crab mixture. Add 1/2 cup of water, since crab cooks in its own moisture in meat as well.Cover with a lid and cook on simmered flame for 5-6 minutes, until the water from the meat starts oozing out.Remove the lid and check for the spice levels, and adjust.Pour in the ground masala and cook on a low flame with lid closed, for another 15-20 minutes.You may continue cooking to adjust the consistency of the gravy as desired.Once done- Serve Spicy Masala Crab Recipe hot with steamed rice and rotis with Dal tadka and Carrot Ribbon Salad With Asian Sesame Dressing.
",3204
63,Chukku Kaapi Recipe - Dry Ginger Coffee,Kerala,Kerala Recipes,4,"To begin making Chukku Kaapi Recipe (Dry Ginger Coffee), in a saucepan, boil enough water.Add in jaggery once the water is boiling and stir till it dissolves.Once jaggery is dissolved, add in dry ginger powder, cumin seeds, coffee powder, black pepper and boil for about 4 minutes to make the brew even and effective.Now add Tulsi (holy basil) leaves and let the mixture boil for 2-3 minutes.Once done add cardamom powder, a bit of salt and switch off heat.Strain the Chukku Kaapi into serving cups and serve hot in mornings and evenings to get rid of common cough and cold.",3413
64,Kerala Style Chena Mezhukkupuratty Recipe - Yam Stir Fry,Kerala,Kerala Recipes,4,"To begin making the Kerala Style Chena Mezhukkupuratty Recipe, firstly boil the yam in a pressure cooker with water, salt and turmeric for about 3 whistle. Do not boil it till it becomes mushy. Strain the water and keep it aside.In a mixer, add in the onions and garlic and grind it into a coarse paste.Heat a kadai with oil, splutter the mustard seeds, curry leaves and then add in the ground onions and garlic. Add in the spice powders including red chilli powder, turmeric powder, fennel seeds, black pepper powder and fry till the raw smell goes away.Once done add in the boiled yam and coat the mixture well into the yam. Stir fry till it crisps up and check for seasoning by adding salt. Serve the Kerala Style Chena Mezhukkupuratty Recipe along with Thandu Keerai Sambar, Steamed Rice and Elai Vadam for your everyday meals.",3584
65,Kerala Style Chakka Chased Ari Payasam Recipe - Jagapriyat Brown Rice Kahir,Kerala,Kerala Recipes,4,"To begin making the Kerala Style Chakka varattiyathu Ari Payasam Recipe, we will first boil the jackfruit. Boil the chopped jackfruit with 1/2 cup water in a saucepan over medium heat.Leave it on medium-low heat for about 20 minutes, till the jackfruit become soft and turns pulpy. Switch off the flame, and allow it to cool down. Transfer this into a a mixer-jar and grind it into a smooth paste.Heat a saucepan, add in the brown rice, milk, jackfruit puree, and 1 cup water, cardamom pod and allow it to boil on medium-low heat.You can keep stirring till the milk thickens and rice is boiled. This is a slow process that will take sometime. the brown rice that needs to be fully cooked. Check the Chakka varattiyathu Ari Payasam after 25 - 30 minutes to see if its done. If ts cooked, switch off the heat and serve.Serve the Kerala Style Chakka varattiyathu Ari Payasam Recipe after a nice Kerala meal like Kerala Avial Recipe and Kerala Style Egg Roast Curry and Malabari Parotta .",3680
66,Kerala Style Appam Recipe - Fermented Rice Pancakes With Coconut,Kerala,Kerala Recipes,4,"To begin making the Kerala Style Appam Recipe, we need to first soak the rice in water for at least 3 to 4 hours.Next combine the salt, sugar and yeast in the warm water and allow it to proof for 5 minutes. I used an instant dry yeast, a variety that does not need proofing, hence I add it directly to the Appam batter.Grind the soaked rice, cooked rice and coconut, adding just a little water and salt to make a thick batter. Add in the proofed yeast to the batter and stir well to combine. Transfer the Appam batter to a bowl. Cover the bowl and allow it to ferment for 5 to 6 hours or overnight.Adjust the consistency of the fermented Appam batter, adding water a little at a time to make it of thick pouring consistency. If you make it too watery, then the Appams will not be as soft and will not spread well.Preheat the Appachetty or the Appam pan on medium high heat. Pour a ladle of batter on the Appachetty and swirl the pan in circular fashion to spread the batter.The batter will be thick in the center and thin on the sides. Cover the pan with a lid for approximately 2 minutes until it is crisped and golden brown on the sides and the centre is steamed and cooked.Serve the Kerala Appams along with Kadala Curry or Kerala Style Vegetable Stew.",3742
67,Muringakka Manga Mulakushyam - Mango & Drumstick Kootu Curry,Kerala,Kerala Recipes,4,"To begin making the Muringakka Manga Mulakushyam get all the ingredients ready, so it will be easy to get started.In a pressure cooker, add toor dal, drumstick, mango & 2 cups of water, salt & turmeric powder. Pressure cook dal for 3 to 4 whistles or till soft and mushy.  Let the pressure release completely.In a mixer, add coconut, green chilies, jeera, water, and grind them into fine paste.Add the coconut to the dal, mango & drumstick mixture. Combine all the ingredients well.Simmer the flame and cook the Muringakka Manga Mulakushyam for about 3 to 4 minutes. Adjust the consistency of the Mulakushyam, by adding a little water. Check the salt and adjust to suit your taste.In a tadka pan, add a little coconut oil. Once the oil is hot, add mustard seeds. As soon as oil splutters, add urad dhal, red chilies, and curry leaves.Pour the tadka over the curry and serve steaming Muringakka Manga Mulakushyam.Serve the Muringakka Manga Mulakushyam along with Dondakaya / Kovakkai Poriyal and Jowar Roti for lunch",3776
68,Kerala Style Banana Dosa Recipe,Kerala,Kerala Recipes,4,"We begin making the Kerala Style Banana Dosa Recipe by heating jaggery with ¼ cup water into a sauce pan till it dissolves.Mash the bananas into a bowl, add all the other ingredients including the jaggery syrup and add 1 cup water and mix well to form a thick pancake batter.Heat a nonstick pan with ghee and pour a ladle on the hot pan and cook for about 2 minutes on either side and flip it over. Do the rest to remaining batter.Serve the Kerala Style Banana Dosa Recipe as a snack after school with glass of buttermilk or Mango Lassi Recipe (A Refreshing Mango Drink with Yogurt).",3832
